tconst	directors	writers
tt9866092	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866094	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866096	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866098	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866100	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866102	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866104	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866106	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866108	nm7129301,nm5563885,nm8787778,nm8744023	nm7129303,nm0474774,nm7129304,nm5170389
tt9866110	nm0088392	nm1506981,nm3147245,nm4267367,nm7503930,nm5316223,nm6389433,nm5570989
tt9866112	nm7230414	nm7230414
tt9866116	\N	\N
tt9866118	nm4371943	nm10721054,nm4609068,nm4614038,nm0474875,nm3996936,nm2761502,nm6945450
tt9866120	nm4371943	nm10721054,nm4609068,nm4614038,nm0474875,nm3996936,nm2761502,nm6945450
tt9866122	nm4371943	nm10721054,nm4609068,nm4614038,nm0474875,nm3996936,nm2761502,nm6945450
tt9866124	nm4371943	nm10721054,nm4609068,nm4614038,nm0474875,nm3996936,nm2761502,nm6945450
tt9866126	nm4371943	nm10721054,nm4609068,nm4614038,nm0474875,nm3996936,nm2761502,nm6945450
tt9866128	nm4371943	nm10721054,nm4609068,nm4614038,nm0474875,nm3996936,nm2761502,nm6945450
tt9866130	nm4371943	nm10721054,nm4609068,nm4614038,nm0474875,nm3996936,nm2761502,nm6945450
tt9866132	nm4371943	nm10721054,nm4609068,nm4614038,nm0474875,nm3996936,nm2761502,nm6945450
tt9866134	nm4371943	nm10721054,nm4609068,nm4614038,nm0474875,nm3996936,nm2761502,nm6945450
tt9866136	nm4371943	nm10721054,nm4609068,nm4614038,nm0474875,nm3996936,nm2761502,nm6945450
tt9866138	nm4371943	nm10721054,nm4609068,nm4614038,nm0474875,nm3996936,nm2761502,nm6945450
tt9866140	nm4371943	nm10721054,nm4609068,nm4614038,nm0474875,nm3996936,nm2761502,nm6945450
tt9866142	nm4371943	nm10721054,nm4609068,nm4614038,nm0474875,nm3996936,nm2761502,nm6945450
tt9866144	nm4371943	nm10721054,nm4609068,nm4614038,nm0474875,nm3996936,nm2761502,nm6945450
tt9866146	nm4371943	nm10721054,nm4609068,nm4614038,nm0474875,nm3996936,nm2761502,nm6945450
