nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm9982784	Arvind Verma	\N	\N	actor	tt8703294
nm9982785	Vivekanand Jha	\N	\N	actor	tt8703294,tt12196626
nm9982786	Anil Kumar	\N	\N	actor	tt8703294
nm9982787	Rajan Kumar	\N	\N	actor	tt8703294
nm9982788	Rakesh Kumar Mahant	\N	\N	actor,production_manager	tt8703294
nm9982789	Ram Kishan	\N	\N	actor	tt8703294
nm9982790	Varsha Rai	\N	\N	actress	tt8703294
nm9982791	Prashant Sharma	\N	\N	actor	tt8703294
nm9982792	Faiyazul Haq	\N	\N	actress	tt8703294
nm9982793	Vijay Pal Singh	\N	\N	actor	tt8703294
nm9982794	Manisha Jha	\N	\N	actor	tt8703294
nm9982795	Harshwardhan Ojha	\N	\N	\N	\N
nm9982796	Vashishth Mahadev	\N	\N	actor	tt8703294
nm9982797	Govind Gujjar	\N	\N	actor	tt8703294
nm9982798	Govind Pathak	\N	\N	\N	\N
nm9982799	Ranjan Kumar	\N	\N	actor,miscellaneous	tt8703294
nm9982800	Amrita Acharya	\N	\N	actor	tt8610212
nm9982801	Mona Choudhary	\N	\N	actor	tt8703294
nm9982802	Shubhika Bharti	\N	\N	actress	tt8703294
nm9982803	Sangeeta	\N	\N	actress	tt8703294
nm9982804	Chitranjan Kumar	\N	\N	actor	tt8703294
nm9982805	Abhishek Chouhan	\N	\N	actor	tt8703294
nm9982806	Arvind Paswan	\N	\N	actor	tt23554840,tt8703294
nm9982807	Pankshi Soni	\N	\N	actress	tt8703294
nm9982808	Mukesh Kumar Paswan	\N	\N	actor	tt8703294
nm9982809	Prashant Bhardwas	\N	\N	actor	tt8703294
nm9982810	Sanjeev Pahalwan	\N	\N	actor	tt8703294
nm9982811	Ram Aasrey Shreyaraj	\N	\N	actor	tt8703294
nm9982812	Azad Kumar Chanchal	\N	\N	actor	tt8703294
nm9982813	Amit Kumar Rudal	\N	\N	actor	tt8703294
nm9982814	Santosh Kumar	\N	\N	actor	tt8703294
nm9982815	Alex Smith	\N	\N	actor	tt8718798
nm9982816	Paul Hettinger	\N	\N	producer	tt3967154,tt5136572
nm9982817	Cindy Michael	\N	\N	camera_department	tt5136572
nm9982818	Corbin Bultemeier	\N	\N	\N	tt5136572
nm9982819	Josh Lozinak	\N	\N	camera_department	tt5136572
nm9982820	Haydon Pitzer	\N	\N	actor,camera_department	tt5136572,tt3967154
nm9982821	Evan Perkins	\N	\N	camera_department	tt5136572
nm9982822	Raj Petersen	\N	\N	editorial_department	tt5136572
nm9982823	Bobby Lee	\N	\N	producer	tt5136572
nm9982824	Ryan Probasco	\N	\N	producer	tt5136572
nm9982825	Kathryn Taylor	\N	\N	miscellaneous	tt5136572
nm9982826	Kyle Perkins	\N	\N	miscellaneous	tt5136572
nm9982827	Ian Rosenberg	\N	\N	stunts	tt8110640
nm9982828	Xana LaRe	\N	\N	\N	\N
nm9982829	D. Prakasha Rao	\N	\N	director	tt8718802
nm9982830	André Caron	\N	\N	\N	tt3221974
nm9982831	Sophia Sauermann	\N	\N	actress	tt0806901
nm9982832	Moana Maria Goetze	\N	\N	actress	tt8613238,tt13345226,tt0806901,tt10081588
nm9982843	Qiao Tao	\N	\N	assistant_director	tt6499988
nm9982844	Dexiang Wang	\N	\N	camera_department	tt2217796,tt6499988
nm9982845	Jitai Jin	\N	\N	costume_department	tt8295936,tt6499988
nm9982846	Kim Young-Chik	\N	\N	actor	tt7467604,tt2162597,tt29305050
nm9982847	Jang Yoo-Sung	\N	\N	actor	tt7467604,tt2162595,tt6453456
nm9982848	Brian Dube	\N	\N	actor	tt23951210,tt22014298,tt19115092
nm9982849	Jiansheng Lü	\N	\N	set_decorator	tt6499988
nm9982850	Fuqing Su	\N	\N	set_decorator	tt6499988
nm9982851	Jackie Fry	\N	\N	actress	tt33063294
nm9982852	Sasha Nadira	\N	\N	actress	tt7801372
nm9982853	Wan Ahmad	\N	\N	actor,stunts	tt6603812,tt35919817,tt7801372
nm9982854	M.N. Hakiki	\N	\N	camera_department	tt11743906,tt8804082,tt7801372,tt10380718
nm9982855	Matt Rudge	\N	\N	composer,music_department	tt10592842,tt1671728,tt7801372,tt8723592
nm9982856	Yeo Zhen Hao	\N	\N	make_up_department	tt7801372
nm9982857	Christian Mock	\N	\N	actor	tt0806901
nm9982858	Michele Fritzi Fichtner	\N	\N	actress	tt0806901
nm9982859	Isil Alben	\N	\N	\N	tt8618624
nm9982860	Xiaocheng Qin	\N	\N	special_effects	tt0301376,tt9823772,tt11247764,tt0343197
nm9982861	Jiaxiang Qian	\N	\N	special_effects	tt11247764,tt0343197,tt6499988
nm9982862	Afa Qian	\N	\N	special_effects	tt6499988,tt2217796
nm9982863	Diana Chire	\N	\N	actress	tt8718830
nm9982864	Dorcas Issa	\N	\N	miscellaneous	tt8718830
nm9982865	Lorrain Talmant	\N	\N	editorial_department	tt7801372
nm9982866	Hongqing Wang	\N	\N	producer	tt6499988
nm9982867	Aiping Sun	\N	\N	producer	tt6499988
nm9982868	Chuck Herron	\N	\N	camera_department	tt5136572
nm9982869	Jenny Dellarocco	\N	\N	camera_department	tt5136572
nm9982870	Ken Highfill	\N	\N	camera_department	tt5136572
nm9982871	Vic Smiths	\N	\N	editor	tt7803176
nm9982872	Roland Kropp	\N	\N	sound_department	tt7803176,tt19382712
nm9982873	Nick Oris	\N	\N	special_effects	tt7803176
nm9982874	James Hudson	\N	\N	special_effects	tt7803176
nm9982875	Qiuxia Jiang	\N	\N	director,writer,producer	tt32493415,tt6499988
nm9982876	Risa Yajima	\N	\N	actress	tt26007960,tt7013174,tt33699664,tt17056678
nm9982877	Yosuke Ugomori	\N	\N	actor	tt7013174
